,Full_name,Drug_Type,Other_Details_summary
0,Acnesol Gel,Gel,"Common side effects like minor itching, burning, or redness of the skin and oily skin may be seen in some people. Also, inform the doctor if you have ever had bloody diarrhea caused by taking antibiotics or if you are using any other medicines to treat skin conditions. It is used to treat acne, which appears as spots or pimples on your face, chest or back. It is a safe medicine, but you should inform your doctor if you have any problems with your bowels (intestines). Avoid any contact with your eyes, nose, or mouth. It may take several weeks for your symptoms to improve, but you should keep using this medicine regularly. You should normally wash and dry the affected area before applying a thin layer of the medicine."
1,Ambrodil Syrup,Syrup,"Before taking this medicine, tell your doctor if you have liver or kidney disease or if you have stomach problems. The most common side effects of this medicine include vomiting, nausea, and stomach upset. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. It works by thinning and loosens mucus in the nose, windpipe and lungs and make it easier to cough out. For better results, it is suggested to take it at the same time every day.   You must take doctor's advice before using this medicine if you are pregnant or breastfeeding. It is advised not to use it for more than 14 days without doctor consultation."
2,Augmentin 625 Duo Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
3,Azithral 500 Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
4,Alkasol Oral Solution,Solution,"To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. It may also cause diarrhea, excessive production of urine, tiredness, etc. Also tell your doctor if you have any problems with your heart, kidneys, or liver. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine. Take it regularly and do not stop taking the medicine even if you get better until that doctor tell you it is alright to stop. Your doctor may help with ways to reduce or prevent these symptoms by reducing the dose or prescribing an alternative medicine. If any of these side effects does not resolve with time or get worsen, you should let your doctor know."
5,Allegra 120mg Tablet,Tablet,"The most common side effects include headache, drowsiness, dizziness, and nausea. It also relieves watery eyes, runny nose, sneezing, and itching. It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions such as eczema, hives and reactions to bites and stings. Before taking it, tell your doctor if you have any problems with your liver or kidneys or with your heart as antihistamines can cause your heart to beat faster. You may need this medicine only on days you have the symptoms, or you may need to take it every day to prevent the symptoms from happening. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy. If you stop taking it earlier than advised, your symptoms may come back."
6,Ascoril LS Syrup,Syrup,"The most common side effects are nausea, diarrhea, stomach pain, vomiting, muscle cramp, headache, skin rash, and increased heart rate. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It also provides relief from runny nose, sneezing, itching, and watery eyes. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends."
7,Aciloc 150 Tablet,Tablet,"However, the most common side effects include headache, constipation, feeling drowsy or tired, and diarrhea. Also tell your doctor what other medicines you are taking as some may affect, or be affected by, this medicine. It is used to treat and prevent heartburn, indigestion and other symptoms caused by too much acid in the stomach. It is also used to treat and prevent stomach ulcers, reflux disease and some other rare conditions. Before taking it, inform your doctor if you have any kidney or liver problems. 150 Tablet is also commonly prescribed to prevent stomach ulcers and heartburn caused by the use of painkillers. These side effects are usually mild and will go away when you stop taking this medicine or as you adjust to it."
8,Avil 25 Tablet,Tablet,"In some cases, it may cause dryness of mouth, so it is advised to drink more water, always carry sugar candy or maintain oral hygiene. It provides relief from runny nose, sneezing, congestion, itching and watery eyes. Before taking this medicine, let your doctor know if you have glaucoma or have asthma issues or have high blood pressure. If these bother you or appear serious, let your doctor know. In case, you have missed any doses than it is better to take the next dose as soon as you remember it. 25 Tablet should be taken with food, but take it at the same time every day to get the most benefit. Inform your doctor if you are pregnant, or breastfeeding."
9,Azee 500 Tablet,Tablet,"500 Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
